op,dtype,family,stock_Melem_per_s,dragon_Melem_per_s,speedup
max,uint16,integer,12139.9,15771.8,1.299
max,uint32,integer,6335.6,8400.3,1.326
max,uint64,integer,2950.1,3683.7,1.249
max,uint8,integer,22367.5,28385.8,1.269
mod,i16,integer,168.1,1639.8,9.755
mod,i32,integer,157.1,1052.9,6.702
mod,i64,integer,102.7,548.7,5.343
mod,int8,integer,173.6,2473.3,14.247
mod,uint16,integer,286.0,1578.3,5.519
mod,uint32,integer,190.7,1075.2,5.638
mod,uint64,integer,188.8,626.7,3.319
mod,uint8,integer,408.7,2124.8,5.199
multiply,i16,integer,5422.7,5754.0,1.061
multiply,i32,integer,2099.9,2122.9,1.011
multiply,i64,integer,647.2,822.7,1.271
multiply,int8,integer,10597.9,11404.3,1.076
multiply,uint16,integer,5399.5,5150.9,0.954
multiply,uint32,integer,2290.9,2406.2,1.050
multiply,uint64,integer,653.0,678.4,1.039
multiply,uint8,integer,10031.0,9757.4,0.973
sort,i16,integer,14.7,93.1,6.333
sort,i32,integer,14.8,77.6,5.243
sort,i64,integer,15.6,40.4,2.590
